Name,Date,Rating,Title,Content
Douglas Benjamin,2025-03-19T18:55:27.000Z,5,Sewanu Hotonu gave me a thorough tour…,Sewanu Hotonu gave me a thorough tour of the facility and sold me on joining for my five weeks in London. I was very impressed with the physical plant as well.
Carly,2025-03-19T18:47:24.000Z,4,I really enjoyed it and I would…,I really enjoyed it and I would recommend it to friends to join
Jon Eriksen,2025-03-19T18:20:35.000Z,5,Fantastic modern gym,"Fantastic modern gym, well lit, spacious, clean and friendly. The staff showed genuine attentiveness towards me as this was my first visit."
Grandmaster,2025-03-19T18:13:12.000Z,5,which gym does it better,"which gym does it better? they allow me to train in my jeans, shorts - so long as i'm training safe - thanks for being chill PUREGYM"
Marian dobre,2025-03-19T18:07:11.000Z,5,Recommend Puregim!,Recommend PureGym!
peter creegan,2025-03-19T18:00:47.000Z,5,All good for a one day pass,N/A
Matthew Perry,2025-03-19T18:00:36.000Z,5,Come to Pure Gym for some of the best PTs in the business,Yet another fabulous PT session with Sam Cottam! Nearly three years in to training together and my strength training continues to give me great results.
SW,2025-03-21T14:48:13.000Z,Rated,N/A,N/A
Lucy,2025-03-21T00:01:17.000Z,Rated,N/A,N/A
customer_,2025-03-21T03:50:33.000Z,Rated,N/A,N/A
customer,2025-03-21T04:32:33.000Z,Rated,N/A,N/A
Muir Lynn,2025-03-19T17:32:38.000Z,5,Was great and quiet all machines…,Was great and quiet all machines available
Weronika Szydlowska,2025-03-19T17:31:37.000Z,5,Very good price,"Very good price, advertising, and the gym seems to be at a high level, also app looks very good ."
Eileen Akinosho,2025-03-19T17:13:53.000Z,4,Pure gym Sydenham,Gym with the most friendly instructors. The equipment needs to be upgraded and the air conditioner needs to be left on
customer,2025-03-19T17:00:31.000Z,4,It was very busy and some machines…,It was very busy and some machines weren’t available
Nick,2025-03-19T16:36:10.000Z,5,Really easy to book a day pass and very…,Really easy to book a day pass and very helpful staff on hand
Mr Vasey,2025-03-19T14:43:26.000Z,5,It was relaxed atmosphere instructors…,It was relaxed atmosphere instructors were on hand if I needed them
Louise,2025-03-19T14:25:16.000Z,4,Good gym,"Good gym, friendly, with plenty of cardio and weight bearing machines. My only bugbear is that you currently don't appear to offer a junior/student membership. Trying to speak to an actual person is proving difficult!"
customer,2025-03-19T14:04:29.000Z,5,First steps to fitness,Quick and simple sign up.
Mr Clarke,2025-03-19T13:46:54.000Z,4,You took the time to respond and…was very respectful,You took the time to respond and responded with compassion and respect thank you so much
Peter Shears,2025-03-19T13:07:17.000Z,5,Quick and simple,N/A
Uta Sempf,2025-03-19T12:57:17.000Z,4,Thinking about joining for months and finally did,"The Gym is on my doorstep which is one of the main deciding factors for choosing PureGym. My second deciding factor, it is a 'compact' and clean gym which doesn't have the smell of stale BO. The equipment is clean and there was a nice atmosphere in the gym. They have a range of classes to choose from. I upgraded from initially booking Off Peak to Core so I can use the gym 24/7.The staff I met are super helpful and friendly. They are professional and have a good physio knowledge. They were able to suggest classes and exercises that are suitable for my health conditions. This was a big plus for me.The website is pretty straight forward and easy to use. I just need to get used to the App and website and learn to navigate the classes and booking system. It's actually pretty straight forward. I only joined today but so far, it has ticked all my boxes."
Nicholas Crank,2025-03-19T12:26:55.000Z,5,Friendly atmosphere,"Friendly staff and people, well maintained equipment and no judgement."
Nagakrishna Vuppu,2025-03-19T12:13:09.000Z,3,Disappointed with the booking was cancelled,Disappointed that it was my first fitness session booked and cancelled by the managment.
customer,2025-03-19T11:19:14.000Z,1,Worst experience paid for a membership…,Worst experience paid for a membership only to NOT be let in
customer,2025-03-19T08:36:09.000Z,4,It was very straight forward,It was very straight forward
Andrew Cook,2025-03-19T00:32:48.000Z,3,Male changing area and washing…,Male changing area and washing facilities severely let the gym down everything else within the gym is top notch.
Matt G,2025-03-19T00:25:46.000Z,5,Fantastic induction,"Fantastic induction! Great setup for the future use of the gym, thorough and knowledgeable"
annie,2025-03-18T23:50:54.000Z,5,super easy and quick to sign up,"really quick, easy and all information presented well on the website"
customer,2025-03-18T23:25:19.000Z,5,Easy to sign up,Easy to sign up
Jody Davies,2025-03-18T22:52:53.000Z,4,Hassle free,Not a hassle just aloud to get on with it Could do with more bikes thou in ebbw vale the size on it more bikes needed
SW,2025-03-21T14:48:13.000Z,Rated,N/A,N/A
Lucy,2025-03-21T00:01:17.000Z,Rated,N/A,N/A
customer_,2025-03-21T03:50:33.000Z,Rated,N/A,N/A
customer,2025-03-21T04:32:33.000Z,Rated,N/A,N/A
Leon Howell,2025-03-18T22:14:19.000Z,1,Awful and so dirty,"The toilets, showers and changing room are disgusting despite staff running in and signing the cleaning rota without even checking. People are sat on all the equipment on their phone so couldn't use anything in the hour I was there. Would not recommend. Total waste of time"
Ali Bou melhem,2025-03-18T21:33:54.000Z,4,I like everything in this gym,N/A
Emma,2025-03-18T21:12:21.000Z,5,Such a lovely friendly gym,"Such a lovely friendly gym. Everything you need all in one place, very clean and tidy. Staff are so friendly and helpful."
customer,2025-03-18T20:50:08.000Z,4,Welcoming and good amount of staff…,Welcoming and good amount of staff available to answer any questions.
Mr G,2025-03-18T20:36:59.000Z,1,Confusing memberships times,Confusing memberships times. No classes available for my one day pass. Not off to a good start. Know better tomorrow
Sanwar Uddin,2025-03-18T20:15:07.000Z,5,Best gym in town,Great working out place!
customer,2025-03-18T20:06:59.000Z,5,I've just rejoined today,"I've just rejoined today, and was quick ans easy"
Radoslaw,2025-03-18T19:55:21.000Z,3,it's ok and nothing more,"It's a pretty decent and affordable gym, there aren't too many people, so there's room to breathe, but unfortunately the equipment is pretty poor ( like for man's )."
Stanley Manyika,2025-03-18T19:54:03.000Z,5,24 hour operations,24 hour operations
Mr D R,2025-03-18T18:36:55.000Z,4,Welcomed to the gym by Klaus,Welcomed to the gym by Klaus. Very friendly and knowledgeable. Good gym and equipment. Signed up today
Cherelle,2025-03-18T17:58:25.000Z,5,Very happy with my first visit,My ‘Get Started’ session at the London Acton branch was very helpful and informative and Francesco was very polite and helpful.The gym is very spacious and clean and I could use the machines I wanted to with ease.
Frank Morgan,2025-03-18T17:42:34.000Z,5,I couldn’t complete the online form so…,I couldn’t complete the online form so I went down to the gym and the manager done all my form for me and was very informative about classes and equipment.
Steve Miller,2025-03-18T17:39:46.000Z,5,Very pleased with the service,"Very pleased with the service, had a problem online & PureGym actually rang me the sort it out . First classes service!"
Mark Down,2025-03-18T16:13:14.000Z,5,Straight forward with an easy to follow…,Straight forward with an easy to follow instruction.
ki,2025-03-18T14:54:27.000Z,3,so mid,AC doesn’t work and machines are bottom spec. Atleast it’s 24hours
Catherine Hughes,2025-03-18T14:47:44.000Z,5,Great GLC Class,"I attended GLC class today which was taken by Caroline. What a brilliant class and Instructor. The class was fun and fast paced for burning those calories, with a great variety of exercisesI had the opportunity this week of trying out some new classes, GLC was one of those I picked and I am glad I did.  It was definitely worth it, thank you Caroline. X"
Hazel smith,2025-03-18T13:45:25.000Z,5,Spacious gym,"Spacious gym , plenty of equipment.Friendly staff and clients"
gus bloke,2025-03-18T13:45:00.000Z,5,Really easy to join,Really easy to join. Clear information about what the pricing policy is.
Paul,2025-03-18T11:13:32.000Z,5,Really easy and informative all the way…,Really easy and informative all the way - thank you 🙏
REES,2025-03-18T11:12:15.000Z,5,Good gym. Value for money.,"The gym is clean, bright and a good temperature.  The strength class gave me a whole body workout and the instructor was friendly, knowledgeable and motivating throughout."
SW,2025-03-21T14:48:13.000Z,Rated,N/A,N/A
Lucy,2025-03-21T00:01:17.000Z,Rated,N/A,N/A
customer_,2025-03-21T03:50:33.000Z,Rated,N/A,N/A
customer,2025-03-21T04:32:33.000Z,Rated,N/A,N/A
Ben Hemington,2025-03-18T10:39:44.000Z,5,Excellent gym at an affordable price.,N/A
James Wilmer,2025-03-18T10:17:04.000Z,5,It was very good,It was very good - the only negative being on installng the app understanding how to use that to login on site rather than with the pin. I was so confused I am just going to use the pin.
Ruth O'Reilly,2025-03-18T08:33:00.000Z,5,Lovely gym where everything is set out…,"Lovely gym where everything is set out and easy to see what you’re doing and going  , as a new gym goer that was very appreciative. I definitely will be returning"
M Oc,2025-03-18T07:40:17.000Z,1,This is to reply to the Puregym comment…,"This is to reply to the Puregym comment on my other review. I was talking about the CLASSES, not the gym area!"
Customer,2025-03-17T23:32:13.000Z,4,Very easy to use,N/A
Darren,2025-03-17T22:44:02.000Z,4,Was great to receive a discount of 30%…,Was great to receive a discount of 30% plus no joining fee for rejoining the gym.
customer,2025-03-17T22:37:23.000Z,1,Blood boiled,"Got to pure gym and tried to pay for the membership on my phone as I got there, I spent 30 mins trying and it kept saying the payment had failed when I had sufficient funds in my account so I had other people try for me and it said the same for then too, then I pressed the assistance button and nothing happened no one came to see me or anything I was at the gym for an hour doing nothing but trying to pay and they do nothing to help"
customer,2025-03-17T21:46:05.000Z,5,Excellent gym caters from everyone,Excellent gym caters for everyone. Good choice of classes and equipment. Very clean.
Olha,2025-03-17T21:39:20.000Z,5,Leeds,Lovelythank you
Christopher,2025-03-17T21:23:35.000Z,5,Good booking experience,"The booking experience was very good with clear steps to select your local gym and enter details to sign up. The emails confirming your membership, PIN and direct debit details arrived quickly"
customerjav,2025-03-17T21:12:19.000Z,5,Great great,N/A
MR A GODHAMGAONKAR,2025-03-17T20:35:21.000Z,5,Good gym,"Good gym, great equipment"
Hurghie Loredana,2025-03-17T19:45:11.000Z,5,Good services,N/A
J Clifford,2025-03-17T19:29:27.000Z,5,Great gym,The gym and facilities were very clean and tidy. The staff were very friendly and helpful. They had aload of gym equipment for all types of training depending on people's requirements
Thomas Corker,2025-03-17T19:12:07.000Z,1,I was offered a rejoining deal but when…,I was offered a rejoining deal but when I tried to join I entered the code and it didn’t work.
Jason,2025-03-17T18:29:27.000Z,5,Clean,"Clean, tidy and good access to the equipment I wanted to use"
Rameau,2025-03-17T18:13:23.000Z,1,Membership scam,"Watch out when you want to change gym to a cheaper one and they persuade you to keep paying the higher price claiming it is a ""Price for Life"".  They confirm this by emal and then tell you the next year that your membership will be increasing!  Dishonest thieves with no oversight."
KAYT,2025-03-17T17:59:05.000Z,5,Very easy to join online.,N/A
customer,2025-03-17T17:54:14.000Z,5,very good machines in good shape and…,very good machines in good shape and staff is great seymore and sam are the best
Jade,2025-03-17T17:54:12.000Z,5,Amazing gym,Amazing gym Love seymore
SW,2025-03-21T14:48:13.000Z,Rated,N/A,N/A
Lucy,2025-03-21T00:01:17.000Z,Rated,N/A,N/A
customer_,2025-03-21T03:50:33.000Z,Rated,N/A,N/A
customer,2025-03-21T04:32:33.000Z,Rated,N/A,N/A
Meekay,2025-03-17T17:53:56.000Z,3,considering its a fully digital…,"considering its a fully digital business, an admin fee for joining is a joke"
customer,2025-03-17T17:40:30.000Z,4,good discount,"good discount, easy to sign up"
Josh carton,2025-03-17T17:26:17.000Z,2,Something needs to change,"I think that puregym woolwhich are well aware of the fact that there is a lack of commercial gyms in woolwhich and know they can be complacent as long as they remain busy. Where to start...the gym constantly smells, the sanitiser station by the entrance has been empty for months, allowing guests to sanitise on entrance and entry is so simple to implement but would go such a long way! Soap dispenser and hand dryer has been broken in the men's changing room upon multiple visits... not even a temporary soap by the sink (I don't even want to think about how many germs are being transfered to the equipment.) Why are there only 6 benches in one of the busiest puregyms in London?? Don't even get me started on the locker situation, just look at the other reviews. You can say ""guests are recommended to bring a towel"" but the majority won't - there should be stations to sanitize equipment. If you want to boost your immune system - puregym woolwhich is the place to go!"
Pam Searson,2025-03-17T17:25:26.000Z,5,great gym plenty of equipment available,N/A
S.bowers,2025-03-17T16:54:17.000Z,1,To be honest the day fee of £10 is a…,"To be honest the day fee of £10 is a joke, the lack of space used for more equipment is crazy. Waited around more trying to get on anything than I did work out Feel completely let down by this gym Never walked away so deflated in a long time. Would like to know how I could get my money back it was that poor."
Stuart Mclean,2025-03-17T15:56:52.000Z,3,Sadly I had to stop due to surgery but…,"Sadly I had to stop due to surgery but always wanted to join back up,  I emailed asking for a rejoin code but was told I needed to wait until the end of the month,  this was a real shame as I need to start today meaning I've had to pay the full fee again,  made joining again a sour experience"
Shayne,2025-03-17T15:50:55.000Z,4,Quiet classes,I am very happy with the gym and its facilities but there is one thing I would love: quiet classes. The problem with getting older is that you can't hear the instructor above loud music. So I YEARN for a gym where I can actually hear the instructor.
Mr Simon Mathias,2025-03-17T15:49:30.000Z,5,Set up in no time.,As vitality member i found the whole process of signing up for PureGym very easy and was all set up in no time..both good platforms.
Tiko Vala,2025-03-18T15:41:30.000Z,1,Mistakenly input wrong gym location for…,Mistakenly input wrong gym location for 3 day passes. Stil zero help in changing location.
Pamela Oxford,2025-03-17T14:59:18.000Z,1,I joined the gym a while ago,"I joined the gym a while ago, and while the equipment is old and a bit outdated, the gym itself is quite large. I’m not sure if it’s just my perception or if other women feel this way, but I find it a bit unprofessional when personal trainers give advice to clients and then go out on dates afterwards. Working out in revealing clothing adds to that feeling. However, maybe this is just how things are, and perhaps Pure Gym in Paisley stands by this approach. That’s my honest personal opinion."
customer,2025-03-17T14:05:00.000Z,5,Love this gym I'm hoping to get a job…,Love this gym I'm hoping to get a job as a personal trainer with you
customer,2025-03-17T13:52:07.000Z,5,great gyn,great gym good instructor
customer,2025-03-17T13:49:33.000Z,5,Good workout,Gym was empty got on all machines without having to wait
John,2025-03-17T13:19:24.000Z,5,Easy to follow online joining…,Easy to follow online joining instructions
Rhys,2025-03-17T12:38:47.000Z,5,Incredibly easy,Incredibly easy
Charlette Odugbesan,2025-03-17T12:36:24.000Z,5,Love this gym,Love this gym. And all the staff are lovely really helpful
Lisa,2025-03-17T12:20:10.000Z,5,Seamless and so easy!,N/A
Robert Kucharski,2025-03-17T11:01:05.000Z,5,pleasant experience,pleasant experience. struggled using pass code for entering the gym as It was my first visit there. Helped by a kind staff member.
customer,2025-03-17T10:05:35.000Z,1,Rubbish when you need to buy a one day…,Rubbish when you need to buy a one day pass because you are unable to get immediate help from any helpdesk at PureGym to adjust your multi gym membership. I was trying to access a gym that I wasn’t aware was not included in my membership and was unable to get immediate assistance. Instead I received an auto message that I will hear back within 12 hours. It’s been 24 hours and I’m yet to hear back from anyone.
Mr O B Tims,2025-03-17T08:51:45.000Z,5,Very easy procedure to join the gym,Very easy procedure to join the gym
SW,2025-03-21T14:48:13.000Z,Rated,N/A,N/A
Lucy,2025-03-21T00:01:17.000Z,Rated,N/A,N/A
customer_,2025-03-21T03:50:33.000Z,Rated,N/A,N/A
customer,2025-03-21T04:32:33.000Z,Rated,N/A,N/A
A. Warwick,2025-03-17T06:15:22.000Z,2,It was OK but could not find a single…,It was OK but could not find a single member of staff to help me. I needed a padlock for the locker and there was a note to say you could buy from vending machine but nothing found. So notthat impressed to be honest. Equipment is okay but weight were missing and all over the place. It needs managing better in my opinion.
Wale Olawoyin,2025-03-17T03:27:16.000Z,5,Good ambience,Good ambience
Mo Selim,2025-03-17T02:46:55.000Z,5,PureGym the best I paid extra they…,PureGym the best I paid extra they refunded the money back to meVery professional servicesThe best gym in the UK special with multiple access for all gym cover must of the UKReally thank you PureGym
Mrs Lynda Lee,2025-03-17T01:51:16.000Z,5,Easy and very clear on all the relevant…,Easy and very clear on all the relevant points
Michael  Wake,2025-03-17T00:14:57.000Z,5,It was easy to join,N/A
customer,2025-03-16T22:51:24.000Z,2,Not enough machines,"Not enough machines, no gym stuff and really expensive for how is it"
Hugh Gurney,2025-03-16T22:51:20.000Z,1,MACHINES NEED SERVICING,Not enough squat racks. Only 3. Not enough weight discs per rack. Had to scavenge from other racks for extra 20kg discs.The leg extension and seated leg curl machines were worn out. The little bolts to hold the pad down kept popping out.
Ian,2025-03-16T22:30:56.000Z,5,joining was a breeze,joining was a breeze. and there was a three month discount to suck me in
Russell King,2025-03-16T22:22:44.000Z,1,It was closed,It was closed
Yasmin,2025-03-16T21:29:06.000Z,5,Easy to use and quick code,Easy to use and quick code
Danny Mercia,2025-03-16T19:49:21.000Z,2,Good but untidy gym,"It is a good gym, great weight and machine selection, plenty of space for working out although I did go on a Sunday evening so naturally wasn't overly busy. On the down side, fre weights absolutely everywhere, not in order, no one re-wracks their weights. Poor gym decorum by some of the members. Teenagers messing around and being noisy.Frankly the gym has great potential but more staff need to be on sight to regulate tidyness and how some members behave. I paid for an £8 one day pass. I won't be joining this gym. Id rather pay more for more mature, quieter members who re-wracks their weights."
Dillon Anthony Wyn Roberts,2025-03-16T19:32:09.000Z,1,It looks like you have annoyed ever one…,It looks like you have annoyed ever one of your members with this closing down saga as apparently your CCTV system is down around the country There was no text to let me know about any closures no app updates no nothing so I am very disappointedYou took a fine tuned business that was ticking away nicely and messed it up! If I am paying for an unlimited access gym monthly then I expect that! I’ll be cancelling my membership on Monday and go elsewhere Plus get a chargeback on that subscription
Sally,2025-03-16T19:08:52.000Z,1,The code I was given did not work,The code I was given did not work. I couldn’t get in. There isn’t anybody to ask for help
Simon,2025-03-16T18:46:26.000Z,5,Great first experience,N/A
Michelle Cutter,2025-03-16T18:35:17.000Z,5,Really easy to join!,N/A
customer,2025-03-16T17:30:44.000Z,4,"I had issues with the I had issues with the ""tell us about you"" survey ""tell us about…","I had issues with the ""tell us about you"" survey afterwards, whenever I selected an answer to the third question it went back to question 2. Otherwise it was a very smooth process"
Abdul Latif Abdul Rahaman,2025-03-16T16:58:15.000Z,5,Ease,Pure gym is a great place to workout. Staff are polite and always ready to help. Membership is also very flexible.
Irum,2025-03-16T15:10:40.000Z,4,Really good experience,Really good experience
Janice,2025-03-16T12:13:18.000Z,5,Easy straight forward instructions,Easy straight forward instructions.  Very reasonable to join
Anonymous,2025-03-16T11:44:48.000Z,1,Gym closure & poor comms,"Members including myself were sent an email at 9pm at night saying the gym would be closed to 8am the following morning - Not a reasonable notice period for a start. However, the email stated it would reopen at 8am. It did not.Instead multiple members including myself waited for 45 minutes on a member of staff opening it as per the email. No one arrived. At least 15 gym members came and went in the time some of us were stood there. Completely sub-par and incompetent management of the situation."
SW,2025-03-21T14:48:13.000Z,Rated,N/A,N/A
Lucy,2025-03-21T00:01:17.000Z,Rated,N/A,N/A
customer_,2025-03-21T03:50:33.000Z,Rated,N/A,N/A
customer,2025-03-21T04:32:33.000Z,Rated,N/A,N/A
